Year,What is the likelihood that you will choose these products if you find them at your grocery store or local farmer's market?,Attendee Zip Code
2019,4,2215
2019,4,2120
2019,5,2886
2019,4,2021
2019,4,2445
2019,5,2227
2019,4,2170
2019,3,2122
2019,5,2151
2019,4,2130
2019,3,2134
2019,5,2472
2019,5,2151
2019,5,2451
2019,5,2135
2019,4,2135
2019,4,2382
2019,5,2134
2019,4,2144
2019,5,2360
2019,4,3868
2019,4,2072
2019,5,2123
2019,3,2111
2019,1,2121
2019,5,2128
2019,5,2121
2019,3,2148
2019,4,2141
2019,5,2124
2019,5,1545
2019,4,2461
2019,5,2111
2019,4,2215
2019,2,1033
2019,3,2215
2019,3,2135
2019,2,2135
2019,5,1720
2019,3,2148
2019,3,2302
2019,3,1720
2019,5,3862
2019,2,47202
2019,4,6511
2019,5,2120
2019,3,2903
2019,3,6118
2019,3,2119
2019,5,2110
2019,5,2421
2019,3,2125
2019,3,2144
2019,5,96749
2019,4,2111
2019,5,2421
2019,5,3054
2019,5,2124
2019,4,2148
2019,5,2131
2019,5,5801
2019,4,2668
2019,3,2472
2019,3,2148
2019,3,2115
2019,4,2148
2019,5,2155
2019,4,2460
2019,3,2148
2019,2,2139
2019,5,54915
2019,2,2148
2019,3,2230
2019,5,2139
2019,2,2128
2019,5,1760
2019,5,2114
2019,3,2145
2019,5,1801
2019,3,2186
2019,4,2136
2019,5,1760
2019,5,2188
2019,5,2492
2019,3,2459
